" (u","1.000000"
" ).","1.000000"
" 0 ","1.000000"
" 10","1.000000"
" 16","2.000000"
" 20","2.000000"
" 25","1.000000"
" 30","1.000000"
" 52","1.000000"
" 60","1.000000"
" 7.","1.000000"
" 75","1.000000"
" 9.","1.000000"
" A ","5.000000"
" Ab","1.000000"
" Ai","1.000000"
" Al","6.000000"
" Am","3.000000"
" Aq","2.000000"
" Ar","2.000000"
" As","1.000000"
" Az","1.000000"
" Aç","1.000000"
" Ba","10.000000"
" Be","1.000000"
" Bl","3.000000"
" Ca","8.000000"
" Co","5.000000"
" De","3.000000"
" Di","2.000000"
" D’","1.000000"
" Ec","1.000000"
" El","10.000000"
" En","3.000000"
" Er","1.000000"
" Es","1.000000"
" Fa","2.000000"
" Fe","16.000000"
" Ga","1.000000"
" Ge","1.000000"
" Go","1.000000"
" Gr","1.000000"
" Gò","2.000000"
" He","1.000000"
" Hi","3.000000"
" Hu","1.000000"
" I ","3.000000"
" Ia","1.000000"
" Il","2.000000"
" Is","1.000000"
" Ja","1.000000"
" Je","1.000000"
" Ju","2.000000"
" L'","1.000000"
" La","8.000000"
" Li","1.000000"
" Ll","2.000000"
" L’","5.000000"
" Ma","2.000000"
" Me","1.000000"
" Mo","4.000000"
" Ne","1.000000"
" Ni","1.000000"
" No","3.000000"
" Nu","1.000000"
" Nú","1.000000"
" PP","7.000000"
" PS","2.000000"
" Pa","4.000000"
" Pe","7.000000"
" Po","4.000000"
" Qu","4.000000"
" Ra","1.000000"
" Re","1.000000"
" Ri","1.000000"
" Sa","3.000000"
" Se","5.000000"
" Si","1.000000"
" So","1.000000"
" Sà","1.000000"
" Sá","2.000000"
" S’","1.000000"
" Ta","4.000000"
" Te","1.000000"
" Th","1.000000"
" To","2.000000"
" Tr","1.000000"
" Tu","1.000000"
" Uc","1.000000"
" Un","6.000000"
" VI","1.000000"
" Vo","3.000000"
" XV","1.000000"
" Xè","3.000000"
" a ","80.000000"
" ab","9.000000"
" ac","6.000000"
" ad","4.000000"
" af","3.000000"
" ag","3.000000"
" ai","5.000000"
" aj","3.000000"
" al","50.000000"
" am","41.000000"
" an","13.000000"
" ap","8.000000"
" aq","11.000000"
" ar","10.000000"
" as","6.000000"
" at","2.000000"
" au","3.000000"
" av","3.000000"
" ba","16.000000"
" be","3.000000"
" bi","1.000000"
" bl","2.000000"
" bo","11.000000"
" br","1.000000"
" bu","3.000000"
" bé","2.000000"
" ca","56.000000"
" ce","14.000000"
" ci","12.000000"
